student_id,test_instance_id,gmat_section,test_date,question_id,question_position,question_time_minutes,is_correct,question_difficulty,question_type,question_fundamental_skill,content_domain,total_section_time_minutes,max_allowed_section_time_minutes,total_questions_in_section,record_timestamp
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_1_20250517,1,1.0,1,0.0,REAL,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_2_20250517,2,1.53,1,0.0,PURE,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_3_20250517,3,4.89,1,0.0,REAL,Rates/Ratio/Percent,Algebra,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_4_20250517,4,7.56,0,0.0,REAL,Counting/Sets/Series/Prob/Stats,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_5_20250517,5,3.44,1,0.0,REAL,Rates/Ratio/Percent,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_6_20250517,6,4.3,1,0.0,PURE,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_7_20250517,7,3.86,0,0.0,PURE,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_8_20250517,8,2.38,1,0.0,REAL,Equal/Unequal/ALG,Algebra,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_9_20250517,9,6.3,1,0.0,REAL,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
student_20250517160418,student_20250517160418_Q_20250517_upload,Q,2025-05-17,Q_10_20250517,10,2.09,0,0.0,REAL,Value/Order/Factors,Arithmetic,44.989999999999995,45.0,20,2025-05-17T19:05:21.208918
